Date,Elevation (feet),Evaporation (af),Inflow** (cfs),Unregulated Inflow*** (cfs),Power Release (cfs),Spillway Release (cfs),Total Release (cfs),,,
1-Oct-62, ,0, , , , , , , , 
1-Nov-62, ,0, , , , , , , , 
1-Dec-62, ,0, , , , , , , , 
1-Jan-63, ,0, , , , , , , , 
1-Feb-63, ,0, , , , , , , , 
1-Mar-63, ,0, , , , , , , , 
1-Apr-63, ,0,7746, , , ,1017, , , 
1-May-63, ,0,15222, , , ,1011, , , 
1-Jun-63, ,0,13176, , , ,2360, , , 
1-Jul-63, ,0,2888,5400, , ,1458, , , 
1-Aug-63, ,0,4453,5227, , ,1006, , , 
1-Sep-63, ,0,6313,7496, , ,1007, , , 
1-Oct-63, ,0,3290,4080, , ,1000, , , 
1-Nov-63, ,0,4786,5205, , ,1001, , , 
1-Dec-63,3409.6,533,4023,3670, , ,1020, , , 
1-Jan-64,3414.6,769,4172,3540,0, ,1154, , , 
1-Feb-64,3414.8,743,4492,4016,0, ,4009, , , 
1-Mar-64,3410.8,1467,4585,4568,0, ,6316, , , 
1-Apr-64,3398.2,2200,6991,8811,0, ,12950, , , 
1-May-64,3434.7,2333,22849,26691,0, ,5186, , , 
1-Jun-64,3471.98,10350,27788,34979,0, ,1002, , , 
1-Jul-64,3484.15,17288,12562,15628,0, ,978, , , 
1-Aug-64,3490.28,19447,9116,8947,0, ,2836, , , 
1-Sep-64,3491.69,18649,5178,3667,2371, ,2631, , , 
1-Oct-64,3491.91,13057,5838,3432,4330, ,4367, , , 
1-Nov-64,3491.47,13146,6699,4838,6092, ,5840, , , 
1-Dec-64,3491.94,10561,7871,5606,6466, ,6466, , , 
1-Jan-65,3491.41,2814,9386,5933,9199, ,9079, , , 
1-Feb-65,3491.91,2932,10232,6414,8221, ,9266, , , 
1-Mar-65,3491.88,5175,9438,6691,7241, ,9046, , , 
1-Apr-65,3490.91,8529,19312,19862,7949, ,20540, , , 
1-May-65,3491.82,9815,37806,44948,9284, ,37139, , , 
1-Jun-65,3510.85,17039,56704,71625,12531, ,39047, , , 
1-Jul-65,3530.91,26771,35174,47799,11127, ,11826, , , 
1-Aug-65,3531.34,29429,15968,18999,12256, ,14162, , , 
1-Sep-65,3530.12,26792,12529,12702,12402, ,12612, , , 
1-Oct-65,3531.57,18774,13426,13332,11651, ,10721, , , 
1-Nov-65,3532.56,18609,12207,10442,10938, ,9904, , , 
1-Dec-65,3534.63,15192,11973,8995,9712, ,8638, , , 
1-Jan-66,3535.21,4478,9028,7068,8621, ,7338, , , 
1-Feb-66,3534.34,4717,8299,6793,9913, ,8700, , , 
1-Mar-66,3536.73,8210,13314,14410,11255, ,10112, , , 
1-Apr-66,3538.98,13686,16848,18747,13963, ,13870, , , 
1-May-66,3544.57,16512,23186,28755,16019, ,15900, , , 
1-Jun-66,3544.91,26897,14988,19716,12729, ,12672, , , 
1-Jul-66,3540.01,31762,6626,7076,11028, ,10694, , , 
1-Aug-66,3534,30443,5349,4311,10872, ,11090, , , 
1-Sep-66,3529.46,27302,6203,4038,10340, ,10460, , , 
1-Oct-66,3527.12,18289,7398,5081,8654, ,8975, , , 
1-Nov-66,3523.57,17688,6767,5579,9483, ,9807, , , 
1-Dec-66,3521.45,13927,6883,6095,8323, ,8597, , , 
1-Jan-67,3517.39,3787,6416,4694,9200, ,9991, , , 
1-Feb-67,3515.15,3897,7184,5799,9137, ,9622, , , 
1-Mar-67,3512.5,6621,8728,8613,10504, ,11224, , , 
1-Apr-67,3507.32,10365,8263,8672,14584, ,13239, , , 
1-May-67,3509.1,11331,16401,19821,14575, ,14290, , , 
1-Jun-67,3529.15,21352,38656,49316,12379, ,11735, , , 
1-Jul-67,3532.53,28931,15003,23089,10225, ,10427, , , 
1-Aug-67,3530.48,29153,8230,7582,10051, ,11262, , , 
1-Sep-67,3528.49,26639,7016,4451,8851, ,10023, , , 
1-Oct-67,3528.23,18325,6441,4129,6227, ,6746, , , 
1-Nov-67,3528.32,18135,8627,5948,7879, ,7726, , , 
1-Dec-67,3527.06,14429,8374,4387,9028, ,8980, , , 
1-Jan-68,3525.06,4086,8528,4897,10303, ,10299, , , 
1-Feb-68,3526.04,4305,8611,6525,8123, ,8066, , , 
1-Mar-68,3520.48,7361,8234,7895,13676, ,13948, , , 
1-Apr-68,3514.04,11103,9624,10295,17434, ,16267, , , 
1-May-68,3522.24,12895,22873,25683,16319, ,15333, , , 
1-Jun-68,3547,25086,45162,60153,15491, ,15034, , , 
1-Jul-68,3546.1,33165,14687,17911,13131, ,13454, , , 
1-Aug-68,3548.73,33802,15384,17144,10948, ,11143, , , 
1-Sep-68,3545.35,30865,7705,5937,10498, ,10670, , , 
1-Oct-68,3543.39,21049,8579,6428,9978, ,10167, , , 
1-Nov-68,3541.67,20303,9307,7099,10299, ,10653, , , 
1-Dec-68,3539.29,16027,8466,5464,10124, ,10368, , , 
1-Jan-69,3540.22,4647,10391,7085,9253, ,9265, , , 
1-Feb-69,3542.87,5045,11864,6993,8397, ,8297, , , 
1-Mar-69,3543.65,8921,12437,8369,12231, ,11521, , , 
1-Apr-69,3552.61,14810,24764,27855,15257, ,14630, , , 
1-May-69,3571.49,19748,36649,44547,13034, ,12412, , , 
1-Jun-69,3579.95,35003,28613,38304,15258, ,14710, , , 
1-Jul-69,3580.54,43746,19046,21744,15355, ,15542, , , 
1-Aug-69,3575.94,42977,9789,8095,14443, ,15120, , , 
1-Sep-69,3573.32,38660,10785,8704,12301, ,13342, , , 
1-Oct-69,3574.9,26821,13220,11808,9608, ,10244, , , 
1-Nov-69,3574.21,26211,11744,9449,11748, ,11871, , , 
1-Dec-69,3572.11,20720,10987,7213,13243, ,13247, , , 
1-Jan-70,3569.37,6156,8329,5514,11720, ,11488, , , 
1-Feb-70,3570.13,6588,9573,6000,7766, ,8013, , , 
1-Mar-70,3571.27,11483,9681,6352,8114, ,7907, , , 
1-Apr-70,3566.65,17978,9733,8592,16194, ,15834, , , 
1-May-70,3582.13,21649,35620,44084,15034, ,14630, , , 
1-Jun-70,3599.13,39390,42536,53157,14315, ,13445, , , 
1-Jul-70,3600.88,50443,18908,21664,12596, ,12500, , , 
1-Aug-70,3597.9,49949,9121,8099,11508, ,12570, , , 
1-Sep-70,3598.87,46009,15265,16512,11660, ,11781, , , 
1-Oct-70,3599.84,32043,10966,9449,7876, ,8102, , , 
1-Nov-70,3600.89,31283,10719,8618,7436, ,7544, , , 
1-Dec-70,3599.78,25100,10250,7024,10910, ,10905, , , 
1-Jan-71,3600.79,7735,10331,6859,8088, ,7994, , , 
1-Feb-71,3602.66,8537,11560,8375,7645, ,7493, , , 
1-Mar-71,3602.86,14617,10985,8251,10094, ,10415, , , 
1-Apr-71,3603.62,23270,18328,20194,17226, ,16985, , , 
1-May-71,3608.73,28084,23803,30865,16081, ,15055, , , 
1-Jun-71,3620.79,46362,38688,53501,16774, ,15030, , , 
1-Jul-71,3620.8,58155,18689,26444,16490, ,15330, , , 
1-Aug-71,3617.31,56941,9443,8607,15010, ,14251, , , 
1-Sep-71,3614.25,51625,9426,7396,13493, ,13039, , , 
1-Oct-71,3614.15,35472,10094,9366,9233, ,9504, , , 
1-Nov-71,3612.42,34038,10714,9096,12293, ,12839, , , 
1-Dec-71,3609.56,26821,11248,7626,14476, ,15238, , , 
1-Jan-72,3607.87,8276,10961,7365,13140, ,13105, , , 
1-Feb-72,3609.51,8929,11165,7608,7805, ,7728, , , 
1-Mar-72,3612.74,15620,11930,12272,6169, ,6140, , , 
1-Apr-72,3610.58,24865,9578,10695,13478, ,13148, , , 
1-May-72,3611.92,29065,17339,21704,14737, ,14668, , , 
1-Jun-72,3619.57,47001,30021,45562,15437, ,14498, , , 
1-Jul-72,3615.43,56711,8994,11821,14732, ,14876, , , 
1-Aug-72,3609.12,54506,6590,5269,16774, ,16353, , , 
1-Sep-72,3603.4,48411,7019,6132,15849, ,15644, , , 
1-Oct-72,3609.09,33466,18047,17962,10654, ,10266, , , 
1-Nov-72,3609.51,33231,13005,10915,11527, ,11281, , , 
1-Dec-72,3606.2,26335,11569,7384,16215, ,16538, , , 
1-Jan-73,3601.04,7968,11422,6884,19019, ,19626, , , 
1-Feb-73,3600.68,8441,12781,8869,13721, ,13755, , , 
1-Mar-73,3598.12,14427,13428,13220,17501, ,17811, , , 
1-Apr-73,3590.63,21817,15580,20840,27431, ,28194, , , 
1-May-73,3616.52,27439,50942,62849,10630, ,10537, , , 
1-Jun-73,3636.36,50660,52390,64373,12924, ,12615, , , 
1-Jul-73,3644.05,66487,30428,33774,10680, ,10672, , , 
1-Aug-73,3645.25,67922,14114,9584,9357, ,9215, , , 
1-Sep-73,3646.02,63116,10914,7334,7275, ,7130, , , 
1-Oct-73,3645.8,43867,9563,7047,8473, ,8292, , , 
1-Nov-73,3646.85,42232,10770,7376,7100, ,6932, , , 
1-Dec-73,3648.84,34155,10905,6354,5768, ,5417, , , 
1-Jan-74,3647.09,10899,11012,6130,14100, ,13759, , , 
1-Feb-74,3648.49,11920,9494,6466,5824, ,5388, , , 
1-Mar-74,3651.14,20496,12275,11706,6621, ,6319, , , 
1-Apr-74,3652.34,32740,11256,12726,8682, ,8311, , , 
1-May-74,3662.3,40395,35227,42671,13304, ,13067, , , 
1-Jun-74,3667.35,65352,29783,40041,15397, ,15356, , , 
1-Jul-74,3662.62,77713,11799,15256,20094, ,19946, , , 
1-Aug-74,3655.82,74594,6736,5678,19751, ,19723, , , 
1-Sep-74,3651.73,66321,6437,3381,13719, ,13887, , , 
1-Oct-74,3650.71,45330,8462,5692,9801, ,9798, , , 
1-Nov-74,3649.46,43300,10389,7843,12062, ,11936, , , 
1-Dec-74,3648.27,34414,7935,4825,9467, ,9175, , , 
1-Jan-75,3645.78,10826,8531,5291,12754, ,12495, , , 
1-Feb-75,3645.34,11733,9510,6278,10316, ,10007, , , 
1-Mar-75,3646.1,19951,10129,9079,8531, ,8256, , , 
1-Apr-75,3647.81,31669,11569,12186,8143, ,7712, , , 
1-May-75,3655.6,38494,30390,35548,14747, ,14509, , , 
1-Jun-75,3668.9,64029,49003,61886,16786, ,16592, , , 
1-Jul-75,3674.81,81960,37707,50469,20038, ,19855, , , 
1-Aug-75,3671.89,81773,12201,10609,16501, ,16613, , , 
1-Sep-75,3668.06,73613,8790,6744,15988, ,16240, , , 
1-Oct-75,3666.57,50158,8243,5840,9907, ,10358, , , 
1-Nov-75,3667.15,48120,10002,7254,7120, ,7143, , , 
1-Dec-75,3667.88,38664,11291,6404,8548, ,8460, , , 
1-Jan-76,3666.77,12464,9517,5014,11374, ,11253, , , 
1-Feb-76,3665.43,13491,10001,7738,13023, ,12901, , , 
1-Mar-76,3664.7,22676,9715,8923,11136, ,10994, , , 
1-Apr-76,3664.17,35683,10219,11436,11117, ,11095, , , 
1-May-76,3667.76,42588,24829,29593,17054, ,17013, , , 
1-Jun-76,3672.16,67481,25244,33221,12583, ,12709, , , 
1-Jul-76,3670.39,81039,10520,12442,12422, ,12456, , , 
1-Aug-76,3667.44,79591,6885,6345,11626, ,11710, , , 
1-Sep-76,3664,71609,7614,5257,14181, ,14146, , , 
